id,species,BI,primary,secondary,tertiary,quaternary,double bond,cyclo-ring,benzene ring,Temp,CH4,C2H4,C3H6,CO,H2,CO2,Fuel
15,Heptane,0,2,5,0,0,0,0,0,870,1.01E-05,4.64E-05,1.63E-05,0,0,0,0.002200743
15,Heptane,0,2,5,0,0,0,0,0,900,3.87E-05,0.000332816,0.000107755,2.82E-05,0,2.64E-05,0.002022846
15,Heptane,0,2,5,0,0,0,0,0,930,0.00018341,0.001126195,0.00030787,0.000358268,0.000155738,4.56E-05,0.001219622
15,Heptane,0,2,5,0,0,0,0,0,960,0.00034195,0.001842253,0.000362847,0.001031496,0.000411309,3.30E-05,0.000551567
15,Heptane,0,2,5,0,0,0,0,0,990,0.000484948,0.001838891,0.000186921,0.004129265,0.00092245,3.60E-05,0.000282085
15,Heptane,0,2,5,0,0,0,0,0,1020,0.000261126,0.000853891,7.26E-05,0.003630577,0.000782685,1.92E-05,0.000182667
16,Iso-octane,0.6,5,1,1,1,0,0,0,750,0,0,0,1.31E-07,0,0,0.0025
16,Iso-octane,0.6,5,1,1,1,0,0,0,780,0,0,0,5.91E-07,0,0,0.002529222
16,Iso-octane,0.6,5,1,1,1,0,0,0,810,0,0,0,1.71E-06,0,0,0.002323908
16,Iso-octane,0.6,5,1,1,1,0,0,0,840,0,0,0,1.90E-06,0,0,0.002405046
16,Iso-octane,0.6,5,1,1,1,0,0,0,870,0,0,0,-7.87E-07,0,0,0.002299134
16,Iso-octane,0.6,5,1,1,1,0,0,0,900,0,0,0.00011875,0.000112533,5.87E-05,0,0.001871116
16,Iso-octane,0.6,5,1,1,1,0,0,0,930,0.00027356,7.73E-05,0.000301273,0.000731955,0.000187685,2.70E-05,0.001355842
16,Iso-octane,0.6,5,1,1,1,0,0,0,960,0.00057199,0.000332816,0.000433218,0.002055446,0.000435268,9.31E-05,0.000747852
16,Iso-octane,0.6,5,1,1,1,0,0,0,990,0.000889071,0.000655546,0.000439815,0.003856627,0.000690839,0.0001868,0.000440908
16,Iso-octane,0.6,5,1,1,1,0,0,0,1020,0.001193717,0.000958106,0.000347454,0.00592815,0.001066208,0.000302724,0.000241317
